% Time (s)                Dependent variable u
0                         -1.9757664147444275E-12
10                        -2.3385578334469164E-12
20                        -2.8758373988970517E-12
30                        -3.686050892627345E-12
40                        -5.08918295954727E-12
50                        -7.110346907324017E-12
60                        -1.0445018625367384E-11
70                        -1.571402454273075E-11
80                        -2.4324967067256153E-11
90                        -3.881297261141986E-11
100                       -6.292649488243501E-11
110                       -1.0106466059189813E-10
120                       -1.505488539284077E-10
130                       -1.967552401984622E-10
140                       -3.7630265966277417E-10
150                       -1.936816456251162E-9
160                       -6.064689686975626E-9
170                       -1.4082180194227796E-8
180                       5.800084992932623E-8
190                       -8.586843746210483E-8
200                       -6.508750838347483E-8
210                       1.1581143153831394E-7
220                       -3.1097346873127903E-7
230                       -2.2088075589067835E-7
240                       -4.876782989708188E-7
250                       -1.2866192777214125E-6
260                       -2.6067533626491302E-6
270                       -5.521083583519875E-6
280                       -1.199986112868968E-5
290                       -2.5594665900874432E-5
300                       -5.479670985737145E-5
310                       -1.1624840065579136E-4
320                       -2.4572770524804123E-4
330                       -5.146462457423039E-4
340                       -0.0010645033156766383
350                       -0.0021745597127597127
360                       -0.004373893259423068
370                       -0.008642163239279445
380                       -0.016739689861924617
390                       -0.03171330786445105
400                       -0.05862699488166295
410                       -0.10551378651834424
420                       -0.18443460141646928
430                       -0.3123452255375198
440                       -0.5112052124034758
450                       -0.8065007355443505
460                       -1.2232146154805925
470                       -1.7784040295198493
480                       -2.4704728142371386
490                       -3.267600070021461
500                       -4.098676498249412
510                       -4.850692547609823
520                       -5.382574404543246
530                       -5.549055056636327
540                       -5.243522983474133
550                       -4.429874055608054
560                       -3.17702030706785
570                       -1.6617509940966524
580                       -0.10793340762947642
590                       1.2743121009902423
600                       2.3347873216991286
610                       3.006049743464766
620                       3.2972844072345437
630                       3.2738496831201545
640                       3.0282761670347904
650                       2.6546297746072636
660                       2.2318983942994066
670                       1.8164283241990056
680                       1.4417026222433593
690                       1.1224617948520794
700                       0.8611016150788877
710                       0.6526908705058275
720                       0.48895965655191165
730                       0.36123249844353505
740                       0.2614766819575714
750                       0.18305505800764374
760                       0.12084588504761437
770                       0.07082095621038607
780                       0.030002758822705488
790                       -0.003756441405209391
800                       -0.03213355055577487
810                       -0.05627430759708431
820                       -0.07706419080108243
830                       -0.09530898990944746
840                       -0.11140833281181611
850                       -0.1258534255899069
860                       -0.13892413794948416
870                       -0.15085238189381958
880                       -0.1619464900166797
890                       -0.1722835114423117
900                       -0.182016511718078
910                       -0.19126900989540505
920                       -0.2001095458325626
930                       -0.20865673873287038
940                       -0.21695953198860848
950                       -0.2250272867066108
960                       -0.2329533837513003
970                       -0.24077111813890645
980                       -0.24851755886961796
990                       -0.2562237936649528
1000                      -0.2638926848648455
1010                      -0.2715545579678452
1020                      -0.27926801580428884
1030                      -0.2870137133063639
1040                      -0.2948144799852692
1050                      -0.3026792889647846
1060                      -0.31062478377744485
1070                      -0.3186926008213088
1080                      -0.3268796473450498
1090                      -0.3351757007161985
1100                      -0.3436088738910076
1110                      -0.352203175786939
